,0
0,18
1,10
2,8
3,7
4,25
5,18
6,35
7,56
8,24
9,26
10,14
11,6
12,16
13,23
14,20
15,6
16,23
17,26
18,26
19,21
20,6
21,22
22,34
23,18
24,29
25,29
26,20
27,32
28,30
29,26
30,31
31,44
32,20
33,26
34,43
35,109
36,12
37,19
38,14
39,42
40,6
41,19
42,41
43,13
44,37
45,12
46,32
47,45
48,20
49,18
50,18
51,9
52,17
53,18
54,7
55,50
56,34
57,15
58,34
59,17
60,34
61,8
62,21
63,55
64,29
65,8
66,49
67,20
68,38
69,39
70,5
71,17
72,43
73,30
74,8
75,48
76,41
77,12
78,27
79,16
80,22
81,34
82,22
83,16
84,29
85,37
86,15
87,99
88,15
89,22
90,41
91,49
92,15
93,8
94,30
95,37
96,9
97,37
98,18
99,7
0,53
1,28
2,11
3,12
4,17
5,20
6,31
7,46
8,26
9,53
10,31
11,50
12,27
13,13
14,8
15,30
16,24
17,47
18,32
19,37
20,110
21,56
22,26
23,35
24,7
25,46
26,26
27,55
28,31
29,27
30,45
31,34
32,25
33,16
34,37
35,83
36,15
37,17
38,25
39,5
40,7
41,47
42,17
43,35
44,48
45,16
46,77
47,17
48,27
49,11
50,22
51,26
52,33
53,32
54,33
55,12
56,16
57,37
58,5
59,47
60,38
61,16
62,27
63,19
64,31
65,20
66,22
67,33
68,11
69,13
70,9
71,10
72,36
73,7
74,9
75,18
76,15
77,10
78,16
79,6
80,9
81,14
82,7
83,44
84,35
85,8
86,23
87,77
88,32
89,21
90,19
91,8
92,37
93,49
94,4
95,15
96,34
97,14
98,50
99,9
0,21
1,20
2,27
3,29
4,8
5,11
6,101
7,32
8,8
9,18
10,30
11,40
12,5
13,20
14,13
15,28
16,10
17,38
18,9
19,15
20,38
21,11
22,22
23,33
24,13
25,4
26,8
27,9
28,5
29,5
30,13
31,22
32,45
33,29
34,19
35,11
36,20
37,18
38,20
39,51
40,17
41,5
42,36
43,42
44,17
45,2
46,14
47,40
48,25
49,24
50,15
51,55
52,40
53,36
54,15
55,27
56,14
57,16
58,66
59,37
60,41
61,18
62,15
63,63
64,6
65,31
66,30
67,39
68,11
69,6
70,6
71,15
72,35
73,45
74,8
75,20
76,16
77,34
78,28
79,23
80,38
81,5
82,28
83,44
84,37
85,6
86,11
87,8
88,12
89,44
90,7
91,20
92,33
93,62
94,33
95,30
96,56
97,23
98,28
99,10
0,33
1,28
2,25
3,27
4,31
5,7
6,9
7,28
8,7
9,36
10,33
11,18
12,23
13,37
14,17
15,9
