,0
0,76
1,71
2,187
3,46
4,126
5,40
6,55
7,81
8,80
9,51
10,91
11,48
12,97
13,49
14,59
15,45
16,22
17,30
18,64
19,51
20,23
21,44
22,26
23,92
24,99
25,14
26,67
27,52
28,19
29,38
30,29
31,40
32,26
33,43
34,30
35,65
36,114
37,55
38,18
39,48
40,55
41,85
42,36
43,42
44,45
45,40
46,80
47,106
48,70
49,46
50,36
51,43
52,62
53,39
54,42
55,133
56,187
57,15
58,34
59,49
60,30
61,35
62,66
63,88
64,93
65,87
66,58
67,98
68,62
69,29
70,104
71,115
72,76
73,56
74,29
75,25
76,111
77,15
78,67
79,128
80,46
81,18
82,44
83,108
84,69
85,23
86,38
87,51
88,50
89,59
90,103
91,70
92,55
93,113
94,79
95,76
96,24
97,94
98,65
99,57
100,40
101,83
102,45
103,96
104,39
105,107
106,110
107,24
108,92
109,27
110,63
111,39
112,110
113,54
114,34
115,26
116,44
117,58
118,88
119,29
120,30
121,64
122,82
123,30
124,72
125,111
126,30
127,29
128,29
129,133
130,51
131,59
132,25
133,37
134,133
135,49
136,44
137,96
138,119
139,44
140,87
141,21
142,80
143,28
144,60
145,74
146,48
147,40
148,59
149,78
150,25
151,39
152,54
153,101
154,40
155,188
156,77
157,94
158,55
159,28
160,48
161,116
162,24
163,65
164,63
165,34
166,62
167,130
168,124
169,79
170,32
171,28
172,33
173,27
174,23
175,169
176,29
177,23
178,35
179,45
180,47
181,59
182,157
183,26
184,77
185,73
186,24
187,74
188,62
189,39
190,32
191,28
192,25
193,30
194,92
195,84
196,22
197,23
198,93
199,80
200,54
201,26
202,135
203,32
204,18
205,52
206,57
207,52
208,60
209,28
210,21
211,82
212,88
213,72
214,72
215,39
216,105
217,44
218,60
219,18
220,57
221,46
222,31
223,105
224,20
225,46
226,95
227,54
228,26
229,111
230,46
231,43
232,82
233,75
234,161
235,57
236,25
237,84
238,31
239,87
240,40
241,54
242,37
243,76
244,58
245,91
246,93
247,34
248,106
249,41
250,81
251,26
252,66
253,120
254,78
255,74
256,37
257,133
258,25
259,45
260,22
261,15
262,40
263,90
264,19
265,86
266,18
267,23
268,17
269,27
270,44
271,56
272,50
273,63
274,80
275,79
276,19
277,47
278,60
279,30
280,26
281,36
282,59
283,49
284,64
285,81
286,49
287,135
288,34
289,16
290,42
291,59
292,130
293,33
294,100
295,66
296,44
297,43
298,70
299,80
300,41
301,14
302,163
303,38
304,51
305,227
306,32
307,102
308,31
309,48
310,26
311,100
312,28
313,30
314,103
315,29
316,25
317,85
318,68
319,77
320,77
321,28
322,26
323,41
324,49
325,40
326,66
327,51
328,45
329,53
330,41
331,121
332,25
333,74
334,45
335,63
336,60
337,229
338,70
339,64
340,27
341,81
342,21
343,132
344,21
345,41
346,81
347,101
348,88
349,32
350,104
351,29
352,24
353,17
354,36
355,66
356,93
357,53
358,77
359,102
360,34
361,75
362,62
363,57
364,42
365,40
366,31
367,28
368,16
369,100
370,52
371,27
372,57
373,23
374,36
375,89
376,48
377,37
378,23
379,78
380,21
381,17
382,65
383,26
384,30
385,62
386,38
387,13
388,45
389,57
390,38
391,95
392,108
393,42
394,74
395,89
396,40
397,54
398,70
399,58
400,72
401,23
402,96
403,69
404,46
405,62
406,32
407,66
408,19
409,73
410,99
411,117
412,23
413,37
414,29
415,55
416,114
417,53
418,24
419,157
420,123
421,102
422,35
423,168
424,67
425,27
426,41
427,52
428,24
429,73
430,59
431,81
432,68
433,59
434,35
435,28
436,61
437,67
438,146
439,28
440,41
441,116
442,62
443,116
444,44
445,113
446,17
447,111
448,123
449,60
450,174
451,16
452,40
453,45
454,79
455,66
456,92
457,69
458,54
459,55
460,67
461,45
462,114
463,65
464,86
465,34
466,44
467,62
468,142
469,29
470,56
471,55
472,18
473,76
