,0
0,21
1,22
2,19
3,21
4,14
5,28
6,26
7,44
8,16
9,13
10,48
11,37
12,54
13,13
14,17
15,30
16,23
17,59
18,7
19,23
20,63
21,34
22,27
23,17
24,20
25,12
26,7
27,25
28,32
29,18
30,57
31,50
32,35
33,19
34,55
35,9
36,21
37,35
38,10
39,31
40,13
41,15
42,19
43,58
44,68
45,16
46,17
47,37
48,7
49,53
50,27
51,54
52,60
53,17
54,29
55,11
56,12
57,14
58,21
59,50
60,8
61,62
62,24
63,25
64,23
65,32
66,31
67,14
68,37
69,12
70,20
71,31
72,27
73,19
74,25
75,94
76,15
77,35
78,14
79,37
80,62
81,46
82,29
83,18
84,36
85,28
86,61
87,53
88,40
89,23
90,29
91,9
92,101
93,84
94,9
95,27
96,12
97,39
98,24
99,28
100,17
101,38
102,14
103,29
104,22
105,14
106,20
107,77
108,25
109,22
110,14
111,37
112,16
113,22
114,13
115,56
116,21
117,60
118,20
119,33
120,32
121,19
122,57
123,76
124,9
125,34
126,25
127,11
128,8
129,22
130,37
131,17
132,15
133,10
134,28
135,20
136,19
137,18
138,38
139,40
140,46
141,38
142,24
143,44
144,35
145,11
146,11
147,43
148,34
149,13
150,79
151,35
152,16
153,19
154,21
155,14
156,16
157,14
158,10
159,35
160,31
161,8
162,36
163,26
164,14
165,57
166,11
167,58
168,14
169,51
170,24
171,47
172,66
173,18
174,9
175,91
176,42
177,8
178,23
179,18
180,27
181,25
182,20
183,8
184,46
185,17
186,14
187,30
188,25
189,12
190,20
191,12
192,34
193,13
194,40
195,16
196,56
197,20
198,27
199,19
200,89
201,24
202,7
203,9
204,9
205,25
206,16
207,25
208,15
209,52
210,17
211,36
212,9
213,43
214,13
215,26
216,77
217,95
218,14
219,23
220,41
221,10
222,55
223,47
224,64
225,21
226,51
227,22
228,40
229,8
230,15
231,19
232,16
233,13
234,49
235,18
236,19
237,51
238,54
239,25
240,42
241,37
242,27
243,12
244,32
245,11
246,8
247,34
248,18
249,39
250,20
251,10
252,40
253,21
254,44
255,15
256,19
257,36
258,15
259,24
260,18
261,81
262,14
263,27
264,30
265,15
266,35
267,35
268,31
269,53
270,26
271,11
272,9
273,14
274,60
275,24
276,41
277,48
278,60
279,40
280,26
281,29
282,19
283,24
284,22
285,26
286,17
287,16
288,36
289,10
290,26
291,39
292,23
293,23
294,21
295,23
296,8
297,29
298,16
299,25
300,19
301,14
302,51
303,16
304,46
305,66
306,65
307,95
308,48
309,9
310,15
311,65
312,28
313,36
314,52
315,29
316,27
317,12
318,61
319,50
320,16
321,13
322,39
323,31
324,65
325,23
326,20
327,32
328,51
329,28
330,16
331,53
332,22
333,14
334,22
335,8
336,11
337,54
338,8
339,28
340,31
341,54
342,11
343,29
344,26
345,26
346,20
347,30
348,73
349,67
350,13
351,22
352,45
353,18
354,41
355,25
356,8
357,66
358,21
359,22
360,16
361,26
362,25
363,13
364,61
365,59
366,15
367,20
368,21
369,58
370,11
371,15
372,62
373,13
374,23
375,13
376,56
377,9
378,14
379,43
380,21
381,54
382,17
383,17
384,25
385,26
386,9
387,27
388,41
389,57
390,24
391,23
392,31
393,29
394,32
395,7
396,44
397,11
398,9
399,12
400,31
401,18
402,29
403,9
404,28
405,23
406,10
407,30
408,69
409,9
410,10
411,50
412,16
413,89
414,32
415,27
416,38
417,65
418,17
419,20
420,47
421,63
422,21
423,53
424,50
425,53
426,22
427,12
428,27
429,57
430,18
431,9
432,21
433,24
434,39
435,66
436,29
437,70
438,17
439,28
440,9
441,30
442,68
443,34
444,41
445,46
446,18
447,32
448,48
449,40
450,25
451,10
452,24
453,19
454,31
455,14
456,86
457,54
458,21
459,90
460,30
461,73
462,54
463,38
464,32
465,13
466,27
467,29
468,38
469,21
470,38
471,37
472,21
473,24
474,10
475,10
476,46
477,10
478,23
479,53
480,77
481,12
482,14
483,40
484,44
485,18
486,10
487,11
488,70
489,67
490,21
491,98
492,23
493,30
494,8
495,13
496,29
497,12
498,10
499,31
500,25
501,44
502,12
503,104
504,139
505,31
506,42
507,52
508,51
509,33
510,25
511,10
512,64
513,14
514,30
515,24
516,60
517,58
518,36
519,7
