,0
0,10
1,34
2,35
3,69
4,35
5,44
6,31
7,30
8,11
9,11
10,15
11,16
12,10
13,47
14,41
15,14
16,74
17,38
18,31
19,25
20,13
21,49
22,10
23,60
24,24
25,73
26,23
27,14
28,15
29,15
30,49
31,16
32,47
33,39
34,40
35,72
36,39
37,34
38,29
39,14
40,29
41,38
42,37
43,64
44,30
45,64
46,42
47,32
48,43
49,13
50,14
51,79
52,115
53,34
54,102
55,17
56,71
57,17
58,25
59,26
60,41
61,15
62,19
63,114
64,88
65,39
66,37
67,26
68,26
69,62
70,46
71,34
72,36
73,43
74,70
75,28
76,57
77,32
78,28
79,44
80,60
81,55
82,68
83,55
84,62
85,11
86,94
87,53
88,83
89,15
90,18
91,36
92,14
93,52
94,102
95,43
96,61
97,34
98,85
99,10
100,52
101,34
102,55
103,54
104,68
105,44
106,23
107,47
108,45
109,10
110,30
111,43
112,52
113,71
114,47
115,75
116,12
117,76
118,30
119,33
120,61
121,69
122,44
123,15
124,43
125,65
126,52
127,48
128,38
129,39
130,71
131,83
132,23
133,56
134,71
135,70
136,38
137,50
138,51
139,10
140,34
141,66
142,53
143,52
144,98
145,45
146,13
147,29
148,40
149,55
150,16
151,13
152,97
153,14
154,34
155,15
156,38
157,91
158,27
159,27
160,26
161,59
162,58
163,11
164,73
165,18
166,12
167,52
168,42
169,16
170,19
171,10
172,32
173,43
174,65
175,61
176,75
177,42
178,17
179,58
180,24
181,13
182,43
183,28
184,19
185,31
186,63
187,18
188,76
189,32
190,52
191,71
192,12
193,61
194,79
195,57
196,18
197,63
198,71
199,48
200,31
201,13
202,10
203,59
204,13
205,36
206,12
207,50
208,71
209,50
210,57
211,14
212,25
213,78
214,11
215,11
216,10
217,46
218,106
219,51
220,58
221,57
222,15
223,23
224,63
225,13
226,40
227,36
228,93
229,75
230,27
231,69
232,53
233,11
234,21
235,62
236,11
237,65
238,73
239,64
240,112
241,88
242,23
243,37
244,32
245,73
246,44
247,56
248,102
249,92
250,64
251,83
252,46
253,38
254,81
255,16
256,52
257,52
258,29
259,12
260,12
261,33
262,57
263,44
264,62
265,10
266,22
267,71
268,68
269,16
270,98
271,97
272,48
273,39
274,41
275,12
276,55
277,10
278,61
279,50
280,72
281,42
282,61
283,96
284,63
285,12
286,86
287,54
288,58
289,53
290,31
291,10
292,66
293,39
294,41
295,56
296,72
297,65
298,58
299,106
300,96
301,67
302,51
303,12
304,53
305,66
306,58
307,42
308,67
309,12
310,104
311,65
312,88
313,11
314,88
315,44
316,63
317,43
318,10
319,66
320,18
321,12
322,15
323,15
324,56
325,80
326,12
327,90
328,37
329,34
330,15
331,10
332,52
333,60
334,22
335,40
336,15
337,94
338,46
339,10
340,10
341,49
342,18
343,10
344,104
345,48
346,58
347,95
348,59
349,66
350,36
351,88
352,57
353,128
354,46
355,48
356,68
357,84
358,47
359,58
360,56
361,69
362,14
363,10
364,62
365,10
366,12
367,18
368,21
369,32
370,57
371,29
372,24
373,19
374,14
375,12
376,32
377,33
378,45
379,38
380,17
381,13
382,21
383,19
384,32
385,63
386,22
387,27
388,43
389,26
390,25
391,145
392,18
393,51
394,29
395,15
396,51
397,27
398,10
399,50
400,56
401,59
402,63
403,19
404,61
405,58
406,79
407,61
408,19
409,63
410,12
411,17
412,18
413,86
414,61
415,14
416,19
417,34
418,30
419,65
420,14
421,12
422,76
423,67
424,67
425,70
426,21
427,12
428,32
429,97
430,97
431,82
432,65
433,53
434,14
435,14
436,13
437,10
438,17
439,76
440,39
441,12
442,56
443,65
444,10
445,74
446,10
447,14
448,97
449,69
450,50
451,10
452,84
453,70
454,59
455,14
456,10
