,0
0,116
1,23
2,52
3,34
4,53
5,28
6,41
7,13
8,43
9,9
10,8
11,25
12,14
13,11
14,21
15,118
16,20
17,11
18,91
19,8
20,51
21,66
22,37
23,20
24,85
25,63
26,40
27,24
28,8
29,33
30,22
31,57
32,23
33,24
34,36
35,20
36,27
37,51
38,30
39,85
40,82
41,61
42,62
43,19
44,11
45,12
46,15
47,23
48,59
49,27
50,14
51,23
52,16
53,9
54,65
55,29
56,11
57,19
58,9
59,32
60,15
61,41
62,34
63,16
64,21
65,106
66,50
67,62
68,63
69,29
70,22
71,54
72,27
73,16
74,49
75,112
76,41
77,79
78,11
79,18
80,17
81,14
82,59
83,14
84,29
85,93
86,75
87,32
88,11
89,18
90,104
91,29
92,27
93,10
94,47
95,139
96,93
97,20
98,21
99,35
100,11
101,38
102,36
103,29
104,9
105,86
106,49
107,27
108,60
109,55
110,11
111,10
112,35
113,44
114,40
115,77
116,9
117,43
118,14
119,27
120,56
121,21
122,22
123,56
124,51
125,17
126,24
127,19
128,77
129,32
130,26
131,47
132,15
133,8
134,27
135,52
136,9
137,24
138,56
139,24
140,39
141,43
142,48
143,36
144,17
145,17
146,14
147,20
148,20
149,16
150,147
151,19
152,23
153,18
154,65
155,10
156,17
157,7
158,84
159,7
160,19
161,21
162,24
163,17
164,13
165,60
166,44
167,16
168,21
169,38
170,51
171,10
172,8
173,38
174,30
175,16
176,16
177,47
178,39
179,49
180,12
181,31
182,58
183,10
184,35
185,15
186,52
187,28
188,49
189,11
190,47
191,35
192,42
193,23
194,25
195,27
196,20
197,33
198,25
199,13
200,20
201,56
202,26
203,66
204,8
205,12
206,20
207,14
208,70
209,35
210,23
211,12
212,18
213,10
214,8
215,27
216,34
217,17
218,41
219,11
220,32
221,18
222,7
223,22
224,38
225,10
226,40
227,25
228,14
229,27
230,42
231,11
232,12
233,60
234,28
235,16
236,34
237,25
238,52
239,28
240,25
241,18
242,19
243,13
244,79
245,19
246,46
247,28
248,21
249,18
250,33
251,14
252,29
253,52
254,10
255,13
256,27
257,10
258,48
259,19
260,27
261,41
262,14
263,17
264,23
265,42
266,13
267,26
268,49
269,14
270,25
271,28
272,30
273,115
274,11
275,38
276,9
277,27
278,41
279,25
280,30
281,27
282,26
283,18
284,20
285,21
286,35
287,28
288,54
289,10
290,59
291,100
292,20
293,17
294,83
295,17
296,59
297,44
298,66
299,54
300,53
301,15
302,24
303,19
304,6
305,143
306,80
307,65
308,18
309,35
310,35
311,23
312,37
313,123
314,45
315,16
316,22
317,81
318,14
319,51
320,54
321,24
322,16
323,40
324,89
325,60
326,62
327,25
328,13
329,26
330,46
331,9
332,9
333,26
334,32
335,37
336,22
337,33
338,14
339,67
340,16
341,23
342,26
343,18
344,97
345,19
346,13
347,27
348,43
349,7
350,109
351,6
352,78
353,41
354,38
355,22
356,26
357,50
358,24
359,63
360,105
361,21
362,57
363,68
364,70
365,73
366,44
367,15
368,38
369,97
370,25
371,18
